# Physical parameter provenance ledger. See docs/physical_reference_system.md.
#
# UNIQUENESS KEY: (reference_system_id, required_for_stage, config_key). A ledger
# keyed on config_key alone cannot hold two reference systems at once — it would
# either duplicate rows or silently merge an idealized source into a different
# apparatus and call the result reproduced.
#
# Vocabularies (all enforced by coupling/tests/test_provenance_ledger.py):
#   status              ready | provisional | blocked | not_applicable |
#                       unsupported_by_current_model
#                       (unsupported != blocked: blocked awaits a measurement,
#                        unsupported awaits a model change)
#   mapping_status      mapped | unmapped | unsupported
#   model_compatibility direct | requires_transform | unsupported
#   model_kind          water_phantom | biofilm_cylinder | none
#   sensitivity_domain  transport_numerical | transport_physical |
#                       cpm_kinematic | biological_response | not_evaluated
#   system_provenance   published_replica | certified_component | engineered_composite | declared
#   evidence_basis      direct_measurement | assay_certificate | manufacturer_datasheet |
#                       primary_literature | evaluated_nuclear_data | derived | declared | synthetic
#   required_for_stage  transport | dosimetry | cpm_feedback | membrane_feedback | none
#   sensitivity_rank    high | medium | low | unknown   (all unknown until the resolution sweep)
#
# status and mapping_status are ORTHOGONAL: "ready + unmapped" is a normal
# combination — a parameter can be scientifically settled while the software has
# no key for it. Likewise a value can be known and still be unusable here, which
# is what model_compatibility records.
#
# sensitivity_domain names WHICH ANALYSIS IS COMPETENT to rank a row, so that
# sensitivity_rank can never be read as a claim about a parameter the analysis
# never varied. The A0 resolution/history sweep varies transport_numerical rows
# and nothing else; it cannot rank a biomass density or a seconds-per-MCS.
# not_evaluated means no analysis in the current program is competent — the
# membrane constitutive laws sit there.
#
# model_kind is which builder a row's config key targets. The required-key set
# is kind-dependent (a water phantom has no lattice pitch and no membrane), so
# the coverage test needs it to know which contract to check against.
#
# Units follow the repository convention of suffixing the unit into the
# identifier: cm, eV, s, g_cm3, dimensionless. Never um.
reference_system_id,required_for_stage,config_key,definition,value,unit,distribution,distribution_parameters,system_provenance,evidence_basis,source_id,source_locator,system_conditions,derivation,applicability,model_compatibility,mapping_status,status,sensitivity_rank,sensitivity_domain,model_kind
A0_cs137_idealized,transport,materials.baseline_biomass.elements,Elemental MASS fractions of the baseline biomass class,,dimensionless,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,,NOT APPLICABLE to A0: no biomass; see the density row.,direct,mapped,not_applicable,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,materials.membrane.density_g_cm3,Mass density of the membrane material class,,g_cm3,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,,NOT APPLICABLE to A0: no membrane. See reference B or C for membrane evidence.,direct,mapped,not_applicable,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,materials.membrane.elements,Elemental MASS fractions of the membrane material class,,dimensionless,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,,NOT APPLICABLE to A0: no membrane; see the density row.,direct,mapped,not_applicable,unknown,transport_physical,water_phantom
A0_cs137_idealized,dosimetry,source.photons_per_second,Total photon emission rate of the source,,dimensionless,,,certified_component,derived,LNHB_CS137,Section 5.2 Gamma Emissions (yield); activity requires a separate certificate,"Requires a source-specific assay: activity A0, its reference date t0, and its uncertainty",S = A(t) * sum_j Y_j with A(t) = A0 * 2^(-(t-t0)/T_half) and Y = 0.8501(20) photons per decay for the 661.655 keV line. Both the certified activity AND its reference date are required; a catalogue activity RANGE is not an activity.,"BLOCKED pending an assay certificate. Not needed at all for the transport stage: heating is tallied per source particle and every sensitivity metric is a ratio, so the resolution sweep runs without this.",direct,mapped,blocked,unknown,transport_physical,water_phantom
A0_cs137_idealized,cpm_feedback,time.seconds_per_mcs,Physical seconds per CPM Monte Carlo step,,s,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md section 2 (A0),n/a,,NOT APPLICABLE to A0: a transport benchmark has no CPM and advances no biological time. Recorded so the row is not mistaken for a missing value. See the unmapped seconds_per_mcs_calibration row for how it would be obtained.,direct,mapped,not_applicable,unknown,cpm_kinematic,water_phantom
A0_cs137_idealized,cpm_feedback,normalization.hamiltonian_scale,Linear transform from dose rate to the Metropolis Hamiltonian radiation term,,dimensionless,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md section 2 (A0),n/a,,NOT APPLICABLE to A0: no CPM is coupled in a transport benchmark.,direct,mapped,not_applicable,unknown,biological_response,water_phantom
A0_cs137_idealized,cpm_feedback,normalization.melanin_scale,Linear transform from dose rate to the melanin production term,,dimensionless,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md section 2 (A0),n/a,,NOT APPLICABLE to A0: no CPM is coupled in a transport benchmark.,direct,mapped,not_applicable,unknown,biological_response,water_phantom
A0_cs137_idealized,membrane_feedback,normalization.membrane_statistic,Statistic mapping the voxel dose field to the membrane model scalar,,dimensionless,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md section 3,n/a,,"NOT APPLICABLE to A0: no membrane feedback. Under the fixed-membrane declaration this statistic is diagnostic-only for every system; it becomes required only for a dose-responsive membrane, which remains a STOP CONDITION.",direct,mapped,not_applicable,unknown,not_evaluated,water_phantom
A0_cs137_idealized,none,nuclear.cs137_half_life_a,Half-life of Cs-137,30.018,a,point,{uncertainty = 0.022},certified_component,evaluated_nuclear_data,LNHB_CS137,"Section 2 Nuclear Data, T_1/2",evaluated,,"Needed to decay-correct a certified activity to the run date. No config key exists: the loader takes an emission rate, not a nuclide and a date.",direct,unmapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,none,nuclear.cs137_photon_yield_661keV,Photons emitted per disintegration for the 661.655 keV line,0.8501,dimensionless,point,{uncertainty = 0.0020},certified_component,evaluated_nuclear_data,LNHB_CS137,Section 5.2 Gamma Emissions (photons per 100 disintegrations),evaluated,85.01(20) per 100 disintegrations. NOT the 94.57(26)% transition probability of section 2.2: P_gamma = P_(gamma+ce)/(1+alpha_T) with alpha_T = 0.1124(16). Using 94.57% as an emission probability overestimates the source by ~11%.,Feeds source.photons_per_second. No config key of its own: the loader takes the product S = A*Y.,direct,unmapped,ready,unknown,transport_physical,water_phantom
C_syron_casey_geometry_anchor,transport,geometry.cylinder_radius_cm,Inner radius of the outer glass vessel,0.9,cm,point,,published_replica,primary_literature,SYRON_CASEY_MABR,NOT LOCATED,"28 C, pH 7, recirculating stirred tank (as supplied; unconfirmed)",18 mm inner diameter / 2. Value as supplied in the project brief.,"UNSUPPORTED: the builder puts biomass inside and the membrane in the annulus outside, the inverse of a MABR (gas lumen, tube wall, biofilm on the exterior, bulk liquid, glass vessel). Also unverified — see the source registry note.",unsupported,unsupported,provisional,unknown,transport_physical,none
C_syron_casey_geometry_anchor,transport,geometry.cylinder_length_cm,Active length of the membrane tube,110.0,cm,point,,published_replica,primary_literature,SYRON_CASEY_MABR,NOT LOCATED,as supplied; unconfirmed,1100 mm active length. Value as supplied in the project brief.,UNSUPPORTED: an 18 mm bore over 1100 mm cannot be represented by a cubic isotropic lattice at any feasible voxel count. Needs anisotropic pitch or a declared representative axial segment.,unsupported,unsupported,provisional,unknown,transport_physical,none
C_syron_casey_geometry_anchor,transport,geometry.membrane_thickness_cm,Wall thickness of the silicone membrane tube,0.1,cm,point,,published_replica,primary_literature,SYRON_CASEY_MABR,NOT LOCATED,as supplied; unconfirmed,"1 mm wall on a 3.0 mm outer diameter tube, which implies a 1 mm bore.","UNSUPPORTED (inverted topology). Unverified, and the implied 1 mm bore is not obviously consistent with the nearby lab MABRs found (4 mm OD / 3 mm ID).",unsupported,unsupported,provisional,unknown,transport_physical,none
C_syron_casey_geometry_anchor,transport,materials.membrane.density_g_cm3,Mass density of the silicone membrane,0.97,g_cm3,uniform,"{low = 0.95, high = 1.15}",published_replica,manufacturer_datasheet,PDMS_STOICHIOMETRY,"Repeat-unit proxy, not a grade datasheet","cured silicone tubing, hydrated state unstated","Nominal cured PDMS density. The range spans filled grades, whose silica loading raises the density.","PROXY ONLY. A commercial cured silicone tube is not pure PDMS: it contains silica filler, curing agents and additives. Not a certified membrane composition, and no dose envelope applies to it.",unsupported,unsupported,provisional,unknown,transport_physical,none
C_syron_casey_geometry_anchor,transport,materials.membrane.elements,Elemental MASS fractions of the silicone membrane,"{Si = 0.378746, O = 0.215759, C = 0.323940, H = 0.081555}",dimensionless,point,,published_replica,derived,PDMS_STOICHIOMETRY,"Repeat unit [Si(CH3)2O], M = 74.1539 g/mol","pure PDMS, unfilled",Stoichiometric mass fractions of the repeat unit; sums to 1 as the loader requires.,PROXY ONLY; see materials.membrane.density_g_cm3. Silica filler would raise Si and O at the expense of C and H.,unsupported,unsupported,provisional,unknown,transport_physical,none
D_engineered_composite,none,cpm.lattice_pitch_derivation,Physical edge length of one CPM lattice site,,cm,,,engineered_composite,direct_measurement,SPATIAL_DECL_2026,docs/calibration/cpm_spatial_calibration.md §1,"Must be measured in the same medium, temperature, oxygen state and growth phase the model represents","NOT IDENTIFIABLE from a cell volume alone: V_physical = V_sites * a^3 constrains only the product. Needs a second constraint — a declared domain size, a resolution criterion, or a declared site target. Enumerated by biofilm_calibration.spatial.scale_candidates, which refuses to select without declared acceptance thresholds.","BLOCKED, spatial gate PROVISIONAL. Also constrained by topology: the CPM forces L = 2R (R = N/2 recomputed as a local at seven sites, no length field), so an apparatus with an independent radius and length is unrepresentable at any pitch.",requires_transform,unmapped,blocked,unknown,cpm_kinematic,none
D_engineered_composite,none,cpm.seconds_per_mcs_calibration,Physical seconds represented by one CPM Monte Carlo step,,s,,,engineered_composite,direct_measurement,SPATIAL_DECL_2026,docs/calibration/time_observable_contract.md,Time-lapse under the modeled growth conditions,"dt_MCS = a^2 * S_sim / S_exp, where S_sim is the simulated MSD slope in lattice units^2 per MCS and S_exp = 2*d*D_eff is the measured slope in um^2/s. For motile organisms fit speed, persistence time, turning-angle distribution and division interval jointly, not MSD alone.","BLOCKED, and downstream of TWO things, not one: dt_MCS = a^2 * S_sim / S_exp needs the calibrated pitch a AND a declared dynamic observable that the model represents. Single-cell tracking is not automatically valid — a cell_id is a computational biomass parcel, not an observable bacterium, so a per-cell MSD is not a parcel MSD. Four of seven candidates satisfy all three conditions; none is selected.",requires_transform,unmapped,blocked,unknown,cpm_kinematic,none
D_engineered_composite,none,response.hamiltonian,RADIOTROPISM: dose-rate response of the Metropolis occupancy term — a directional spatial preference,,dimensionless,,,engineered_composite,direct_measurement,DECLARED_REPO,docs/physical_reference_system.md section 3,"Per species, per dose rate and per cumulative dose separately",Calibrated against spatial redistribution in a KNOWN dose gradient.,"BLOCKED. THIS TERM IS A TROPISM AND NOTHING ELSE. The sign of beta_ion decides whether a parcel drifts up or down the dose gradient; the Hamiltonian is a Metropolis acceptance functional in arbitrary units, not an energy budget, so a negative beta is not metabolic gain. Radiotrophy (radiation measurably ENHANCING growth or metabolism) is not represented here and cannot be — see response.growth_survival — and is in any case not established for any modelled species (docs/research/radiotrophic_compatibility_audit.md, verdict TARGETED_LAB_EXPERIMENT_REQUIRED). Note the entity semantics too: a cell ID is a computational biomass parcel, so any fitted response is a per-parcel response, not a per-organism one.",requires_transform,unmapped,blocked,unknown,biological_response,none
D_engineered_composite,none,cpm.melanin_coupling,"Coupling between the melanin field and the Metropolis acceptance: dH_mel = -k*M for the RADIOTROPIC species",0.5,dimensionless,,,declared,declared,DECLARED_REPO,biofilms_potts.jl compute_delta_H (H_melanin term),Hard-coded at the call site; absent from Table 2 and from every configuration file,"Would be fitted jointly with response.melanin against pigmentation versus exposure; it cannot be fitted separately from alpha_M, since only their product reaches the dynamics.","UNDECLARED UNTIL 2026-08-15 AND IT DOMINATES. At the shipped I0=1.0 and T_cpm=5.0, dH_rad for the radiotropic species is beta_ion*I = -5e-5, an acceptance bias of 1.000010 — one part in 1e5, numerically inert. dH_mel at the reported M=1.44 is -0.72, a bias of 1.155, or 15.5%: four orders of magnitude larger. So the radial stratification the model exhibits is driven by THIS coefficient and not by the tabulated beta_ion. Radiation still reaches the dynamics, but indirectly: melanin_drive is copied from the radiation field, so radiation -> melanin production (alpha_M, tabulated) -> M -> dH_mel (this coefficient, untabulated) -> tropism. A parameter that decides the headline result must not live only at its call site.",requires_transform,unmapped,blocked,high,biological_response,none
D_engineered_composite,none,response.melanin,Dose response of pigment production,,dimensionless,,,engineered_composite,direct_measurement,DECLARED_REPO,docs/physical_reference_system.md section 3,Per species; exposure conditions recorded,Calibrated against a chemical pigment assay or calibrated image intensity versus exposure.,"BLOCKED. Distinct from the Hamiltonian response; fit dose rate and cumulative dose separately, since repair and adaptation cannot be reconstructed from cumulative dose alone.",requires_transform,unmapped,blocked,unknown,biological_response,none
D_engineered_composite,none,response.growth_survival,Dose response of viable biomass,,dimensionless,,,engineered_composite,direct_measurement,DECLARED_REPO,docs/physical_reference_system.md section 3,Per species; dose rate and cumulative dose varied independently,Calibrated against viable counts or growth rate versus dose and dose rate.,"UNSUPPORTED BY THE CURRENT MODEL, which is distinct from blocked: a blocked quantity awaits a measurement, this one awaits a MODEL CHANGE. The CPM has no growth dynamics — divide_cell! has no trigger and state.nutrient is never read by compute_delta_H — so there is no simulated growth rate to fit a survival response against, and no quantity of survival data would clear it. A model-revision branch must introduce and validate baseline growth first. RADIORESISTANCE FOLDS HERE, and is equally unsupported: elevated SURVIVAL needs a death process, and no cell is ever removed from this model. The published D10 evidence is strong — it is what anchors the per-species beta_ion magnitudes — but the model expresses it as differential TROPISM, not as survival, and those are different quantities.",requires_transform,unmapped,unsupported_by_current_model,unknown,biological_response,none
D_engineered_composite,none,response.metal_reduction,Dose response of the metal reduction / sorption rate,,dimensionless,,,engineered_composite,direct_measurement,INTEGRATION_DECL_2026,docs/calibration/material_basis_contract.md,Per species; electron-transfer conditions recorded,Calibrated against reduced-metal production or electron-transfer rate versus exposure.,"BLOCKED by a units error upstream, not only by missing data: X_red is currently a site fraction of one species divided by all interior sites, which is neither a biomass fraction nor an active-reducer fraction.",requires_transform,unmapped,blocked,unknown,biological_response,none
D_engineered_composite,none,membrane.m_mech_law,Mechanical integrity of the membrane as a function of dose,1.0,dimensionless,point,,engineered_composite,declared,DECLARED_REPO,docs/physical_reference_system.md section 3,Fixed-membrane stage; envelope is material-specific and does not transfer between Nafion and silicone,"DECLARED FIXED at m_mech = 1: no dose-dependent mechanical update. Calibrating it needs tensile modulus or strength versus dose, with hydration, temperature, pH, dose rate, total dose and irradiation atmosphere all recorded.","Declared, not measured. Valid only for the fixed-membrane stage. For Nafion the applicable benchmark is SRNL_NAFION117; for silicone there is NO validated dose envelope and this is a declared simplifying assumption.",requires_transform,unmapped,blocked,unknown,not_evaluated,none
D_engineered_composite,none,membrane.P_j_law,Permeability of solute j as a function of dose,,dimensionless,,,engineered_composite,direct_measurement,SRNL_NAFION117,NOT VERIFIED,"Hydration state, atmosphere, dose rate and total dose must all be recorded; total dose alone is an insufficient descriptor","DECLARED FIXED at P_j = P_j0 for now. J_j = P_j (c_ext,j - K_j c_wall,j), with a separate P_j per solute. m_mech and P_j are independent: damage can weaken a material while opening transport pathways, and selectivity can fall for one species while conductance falls for another.","BLOCKED, and the formal STOP CONDITION for any dose-responsive membrane model (audit section 6, register item 5). The original contradiction stands in the code: P_eff = P0*exp(+alpha_P*D_cum) grows while m decays, and the nutrient coupling multiplies by m.",requires_transform,unmapped,blocked,unknown,not_evaluated,none
A0_cs137_idealized,transport,transport.mesh.base_dimension,Tally bins per axis before coarsening,"[48, 48, 48]",dimensionless,point,,declared,derived,A0_SWEEP_2026,"docs/a0_transport_resolution_decision.md, Decision",n/a,"Chosen by the A0 resolution/history sweep: 5 coarsenings x 4 history counts x 5 independent seeds, against a 6.4e7-history reference, with geometry/materials/spectrum held fixed.","Sets the finest achievable resolution and therefore the ceiling on every coarsening. 48 divides by 1, 2, 4, 8 and 16, so the sweep's meshes nest.",direct,mapped,ready,high,transport_numerical,water_phantom
A0_cs137_idealized,transport,transport.mesh.coarsening_factor,Integer factor coarsening the tally mesh below its base,2,dimensionless,point,,declared,derived,A0_SWEEP_2026,"docs/a0_transport_resolution_decision.md, Decision",n/a,"Chosen by the A0 resolution/history sweep: 5 coarsenings x 4 history counts x 5 independent seeds, against a 6.4e7-history reference, with geometry/materials/spectrum held fixed.","Ranked HIGH: the mass-weighted aggregate is stable to 0.35-0.42% for factors 1-4 and then drifts ~11% per step, and resolution loss runs 17.7% (f2) to 62.0% (f16). HARD CEILING 4 — beyond it the in-cylinder region is unresolved (6 then 3 bins across) and the drift is a region-of-interest and full-bin-mass artifact, not transport.",direct,mapped,ready,high,transport_numerical,water_phantom
A0_cs137_idealized,transport,transport.batches,Statistical batches per run,80,dimensionless,point,,declared,derived,A0_SWEEP_2026,"docs/a0_transport_resolution_decision.md, Decision",n/a,"Chosen by the A0 resolution/history sweep: 5 coarsenings x 4 history counts x 5 independent seeds, against a 6.4e7-history reference, with geometry/materials/spectrum held fixed.",Ranked MEDIUM: statistics fall as 1/sqrt(N) and are not the binding constraint at dosimetry scale. 80 x 50000 = 4e6 histories gives median relative error 6.7% and p90 10.1% at the decided mesh.,direct,mapped,ready,medium,transport_numerical,water_phantom
A0_cs137_idealized,transport,transport.particles,Source particles per batch,50000,dimensionless,point,,declared,derived,A0_SWEEP_2026,"docs/a0_transport_resolution_decision.md, Decision",n/a,"Chosen by the A0 resolution/history sweep: 5 coarsenings x 4 history counts x 5 independent seeds, against a 6.4e7-history reference, with geometry/materials/spectrum held fixed.",Ranked MEDIUM with transport.batches; the two are one history-count axis.,direct,mapped,ready,medium,transport_numerical,water_phantom
A0_cs137_idealized,transport,transport.seed,Monte Carlo seed,1,dimensionless,point,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §4,n/a,"Declared. Independent seeds give replicate runs, which is how aggregate uncertainty is estimated — per-bin standard deviations do not capture every covariance relevant to a spatial aggregate.",Not a physical parameter. The sweep uses several seeds per decision point rather than ranking this.,direct,mapped,provisional,unknown,not_evaluated,water_phantom
D_engineered_composite,none,binding.occupied_voxel,What one occupied CPM voxel represents and is made of,,dimensionless,,,engineered_composite,declared,INTEGRATION_DECL_2026,docs/calibration/integration_contract.md,n/a,"DECLARED: part of a hydrated computational biomass parcel, assigned the hydrated-effective-biofilm material at a wet bulk density. Checked by biofilm_calibration.integration.coherence_problems(), which rejects mixed semantics — an organism-scale entity with a bulk-biofilm material, or biological lineage on a parcel — whose individual clauses each pass their own branch's gate.","PROVISIONAL: coherent but incomplete. The lattice pitch and the density are both unset, so no biofilm transport config can be emitted; emit_transport_config() raises and names every blocker.",requires_transform,unmapped,provisional,unknown,not_evaluated,none
