# sop_index — generated from reference_d_requirements.csv, not from disciplines.
# Every SOP names what requires it; every measured requirement has an SOP or a named gap.
# supplied_by and status are NOT copied here: calibration/tests/test_sop_index.py reads them
# from the register, so the two files cannot drift. constrained_by is a LIST delimited by ' / '.
# run_by is a DECLARATION, not a verified capability: a row tagged hunter that in fact needs a
# confocal passes every check here, and no test can catch that.
sop_id,requirement_id,constrained_by,tier,coverage,sop_path,title,discipline,run_by,blocked_by,output_artifact,signal_source,conversion_to_parameter,notes
SOP-11,D-PAIRED,,reference_d,named_gap,,Paired-sample-group linkage across spatial and materials tables,records,hunter,no SOP written,,,structural: not a parameter,Gap. A discipline-organised index would file this under nothing and lose it.
SOP-12,D-REPLICATES,,reference_d,derivation,,"Derivation: replicate count per condition, derived AFTER detectability — see protocol section 3.4",analysis,hunter,,,,"derived, not measured","Takes a derivation naming its inputs, never an SOP."
SOP-13,D-MODELKIND,,reference_d,decision,,Decision: material_model_kind per component,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-14,D-MEDIUM,,reference_d,named_gap,,Density and closed composition of the growth medium,analytical / inorganic,hunter,no SOP written,,,direct: medium,Gap.
SOP-15,D-MEMBMAT,,reference_d,named_gap,,Membrane density and closed composition,analytical / inorganic,unassigned,membrane not yet selected; no SOP written,,,direct: membrane,"Gap, and blocked upstream of itself."
SOP-16,D-MEMBGEOM,,reference_d,named_gap,,As-built radial thickness of the membrane,metrology,unassigned,membrane not yet selected; no SOP written,,,direct: membrane_thickness_cm,Gap.
SOP-17,D-GEOM,,reference_d,named_gap,,As-built metrology of the biological domain,metrology,unassigned,apparatus does not exist; no SOP written,,,direct: cylinder_radius_cm / cylinder_length_cm,Gap.
SOP-18,D-LATTICEN,,reference_d,derivation,,Derivation: lattice_n implied by pitch and domain,analysis,hunter,,,,"derived, not measured","Takes a derivation naming its inputs, never an SOP."
SOP-19,D-SRCPOS,,reference_d,named_gap,,As-built source placement relative to the domain,metrology / radiation,murr,facility not approached; no SOP written,,,direct: source_position_cm,Gap.
SOP-20,D-SRCSHAPE,,reference_d,decision,,Decision: source idealization,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-21,D-ACTIVITY,,reference_d,named_gap,,Source assay certificate with an activity and its date,radiation,murr,facility not approached; no SOP written,,,direct: photons_per_second,Gap.
SOP-22,D-SPECTRUM,,reference_d,source,,Evaluated decay data for the source nuclide,radiation,unassigned,,,,direct: spectrum_energies_eV / spectrum_probabilities,"A source, not a measurement."
SOP-23,D-BOUNDS,,reference_d,decision,,Decision: boundary treatment,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-24,D-NUMERICS,,reference_d,decision,,Decision: resolution and history study parameters,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-25,D-XRED,,reference_d,named_gap,,Metal loading with an active_fraction,analytical / inorganic,hunter,"BLOCKED BY A UNITS ERROR, NOT BY MISSING DATA. AND IT BLOCKS THE ENVELOPE ANALYSIS: X_total must not be given a declared range until it is typed.",,,"NEEDS a unit AND A BASIS, not a value. 'g/cm3' alone does not distinguish per-hydrated-envelope from per-cells-only, which is exactly the ambiguity D-RHOWET refuses on the bench side with volume_basis. Mirror that field BY NAME so the eventual bench-to-model join is a column match rather than a translation.","Gap already named in reference_d_measurement_protocol.md section 6: measuring metal loading will not unblock it. Cited, not restated. THE MODEL ASSERTS A REGIME IT HAS NO WARRANT FOR. The solver still computes a Thiele-type comparison -- D_eff carries cm2/s, k_eff carries 1/s, L carries cm -- so it does report a regime; what is unwarranted is the regime it reports, because X_total enters as a density and is sourced as an occupancy. That is real arithmetic on a mis-typed input, and no measurement of loading supplies the warrant, because the missing thing is a TYPE DECLARATION and not a value. CONSEQUENCE, FILED AS A BLOCK RATHER THAN AS A PENDING EDIT: the envelope analysis must not run on X_total until it is typed. Propagating a declared range through a category error would report X_total as the dominant uncertainty when it is not an uncertainty at all -- it would quantify a units defect as a wide prior, which is the spurious precision the envelope exists to prevent. Filed here so the ordering is not protected by memory."
SOP-26,D-OCCUPANCY,,reference_d,decision,,Decision: occupancy mapping,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-27,D-DOMAIN,,reference_d,decision,,Decision: what the lattice is claimed to be,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-28,D-OBSTOL,,reference_d,decision,,Decision: six per-observable tolerances,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-29,D-MATACCEPT,,reference_d,decision,,Decision: material acceptance thresholds,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-30,D-AXIALFACE,,reference_d,derivation,,Derivation: axial-face compatibility check,analysis,hunter,,,,"derived, not measured","Takes a derivation naming its inputs, never an SOP."
SOP-T1,,,proposal,named_gap,,"Suspended-biomass isotherm: equilibrium time, multi-point isotherm, kinetics, desorption, temperature series",physical chemistry,hunter,"requirement lives in suspended_isotherm_proposal.csv, authoritative_for_campaign = false",,,q_max in mg/g dry NEEDS rho_dry and a reference concentration; the contaminant is a dimensionless c_ext = 1.0,"TIER 2. No register entry is possible: reference_d_requirements.csv is cross-checked against required_fields() in both directions, so a row naming a field the emitter does not require is a failure."
SOP-T2,,,unrequired,named_gap,,"Irradiation geometry, alanine/EPR or Fricke dosimetry, dose rate and total dose recorded separately, post-irradiation handling",radiation / dosimetry,murr,NO REQUIREMENT IN THIS REPOSITORY,,,no parameter consumes a dose-response; the CPM has no dose-dependent survival,"TIER 3. Nothing requires this. Printed rather than listed quietly, because the absence is the finding."
SOP-T3,,,unrequired,named_gap,,"Culture maintenance, inoculum standardisation, coupon biofilm growth, inactivation, aggregation state by flow cytometry",microbiology,hunter,NO REQUIREMENT IN THIS REPOSITORY for the growth SOPs; inactivation supports tier 2 only,,,alpha_M and K_s NEED a cells-per-parcel mapping; the modelled entity is a parcel,"TIER 3. Growth and survival are unsupported by the current model, not merely unmeasured -- protocol section 6."
SOP-T4,,,proposal,named_gap,,"Topological consistency check: enclosed voids and spanning components from the CPM lattice, asserted against a transport field",verification,hunter,NOT BUILDABLE YET. Trigger: a transport solver carrying 3D biofilm geometry AND a matrix-diffusion term (D_eff inside the film distinct from D_w).,,matrix diffusion (D_eff_film != D_w),verification only; feeds no parameter,"REFUSED AGAINST THE DOSE CHAIN, AND THE REASON IS SCOPED SO IT IS NOT RE-PROPOSED. A topological predicate has signal only if the model contains the physics term that makes the predicate consequential. For the OpenMC chain that term does not exist: the manuscript declares d(mu)/dc ~ 0 in the planned-feedback section, and at ~1 MeV over C/H/N/O compositions hydrated biomass and medium are near-indistinguishable to transport - mu ~ 0.07 /cm across a 100 um void is a 0.07 percent effect, below tally noise, and the biomass-void CONTRAST a topological predicate needs is smaller still. So 'an enclosed void that is not depleted' is the CORRECT output, and the check would pass vacuously on a broken chain and fail spuriously on a working one. 3D GEOMETRY ALONE IS NOT THE TRIGGER EITHER: the current radiodialysis solver is a Henry isotherm with a uniform sink, and a 3D version of that still shows no void depletion because nothing in it makes matrix diffusion slower than bulk. Both original conditions carry over unchanged when the trigger is met: a declared occupancy threshold for 'enclosed' belongs in the ledger as a modelling choice, and the fixture must be asymmetric in the ENCLOSURE sense rather than in y - the centroid test's symmetry hole one level up. THE 0-PRE COMPARATOR CLAUSE THAT STOOD HERE IS WITHDRAWN. It said Chengdu's 4.7x makes a 2.35x threshold conservative by construction. It does not: 4.7x only UPPER-bounds the unpublished adjacent-group contrast, and no fraction of an upper bound supplies the lower bound a conservative gate needs. docs/research/spatial_dose_community_program.md now states that and leaves the threshold UNSET; leaving the opposite conclusion in the promotion reference would have made the two internally contradictory and invited the withdrawn gate to be reinstated. Raised by Codex on PR #23."
SOP-T5,,,proposal,named_gap,,Two-way coupling verification: assert the dose field responds to local sorbed loading,verification,hunter,NOT BUILDABLE YET. Trigger: a coupling in which voxel material composition varies with concentration.,,attenuation contrast with concentration,verification only; feeds no parameter,"The check would assert that loading a voxel changes the dose it receives. It cannot fire today: coupling/biofilm_openmc/materials.py assigns voxel class from cell_id alone, and the manuscript declares d(mu)/dc ~ 0, so the correct output is no response and a broken chain would pass. This row exists so that predicate is a promotion trigger for something rather than a dead registry entry -- see test_no_registry_term_is_dead."
SOP-T6,,,proposal,named_gap,,Radiosensitivity model comparison: dose-dependent survival plus tropism against a null with no dose term,verification,hunter,NOT BUILDABLE YET. Trigger: a dose-dependent survival process in the CPM. Both halves of the comparison are unbuilt.,,dose-dependent survival,verification only; feeds no parameter,"Phase 2 of docs/research/spatial_dose_community_program.md. Section 2.6 declares the CPM has neither birth nor death and no removal function exists in the stepper, so there is no simulated response to compare against and no fitted null either. Filed so the survival predicate triggers a promotion rather than sitting dead."
