# reference_d_requirements — every input Reference D still needs, and who can supply it.
#
# WHY THIS EXISTS. "Run the lab campaign" is not a specification. This table is
# the specification: one row per field whose absence makes emit_transport_config()
# refuse under evidence_policy = measured_only, with the artifact that closes it.
#
# IT IS NOT A WISH LIST. The rows are checked against the live contract by
# calibration/scripts/reference_d_status.py and by a test: a field the emitter
# requires but this table omits is a FAILURE, and so is a row naming a field the
# emitter does not require. The protocol therefore cannot drift from the code.
#
# supplied_by — the load-bearing column, because these are not the same job:
#   measured        a laboratory or metrology result. The campaign produces it.
#   evaluated_data  published evaluated nuclear data. Looked up, never measured here.
#   derived         computed from other rows; has no independent measurement.
#   declared        a MODELLING CHOICE. No measurement can supply it and none should
#                   be sought; what is required is that the choice is written down
#                   with its justification.
#
# A row's status is about the INPUT, not about the work item:
#   not_started            nothing exists yet
#   satisfied              the value exists and its gate accepts it
#   blocked_on_model       awaits a model change, not a measurement
#   awaits_upstream        cannot begin until another row is satisfied
#
# UNIQUENESS KEY: requirement_id
# Blank cells mean NOT SUPPLIED. They are never read as zero or as a default.
requirement_id,config_key,supplied_by,artifact,lands_in,acceptance_criterion,unblocks,status,notes
D-MEMBMAT,membrane,measured,Membrane density and closed composition,data/calibration/materials/component_definitions.csv,closed to 1; a manufacturer datasheet is exportable evidence,material OpenMC gate,awaiting_measurement,"Fixed-membrane declaration: the membrane is held constant for this stage, so its composition is a fixed input and not a dose-responsive one."
D-MEMBGEOM,membrane_thickness_cm,measured,As-built radial thickness of the membrane annulus,n/a — enters the config directly,"positive, and cylinder_radius_cm + membrane_thickness_cm must stay inside the tallied lattice cube",emit_transport_config,awaiting_measurement,A membrane reaching outside the lattice cube is partly untallied and its mass accounting is silently incomplete. structural_problems() refuses it.
D-GEOM,cylinder_radius_cm / cylinder_length_cm,measured,As-built metrology of the biological domain,n/a — enters the config directly,"check_lattice_congruence passes: radius <= side/2 and length <= side, for side = lattice_n * pitch",emit_transport_config,awaiting_measurement,"Reference C could never be a full-length MABR in the CPM: L = 2R is structural (R = N/2 recomputed at 7 sites, no length field), so an extreme aspect ratio is unrepresentable at any feasible voxel count."
D-LATTICEN,lattice_n,derived,The CPM lattice size implied by the domain extent and the selected pitch,n/a — enters the config directly,"lattice_n * pitch >= the domain, and mesh_coarsening_factor divides lattice_n so the meshes nest",emit_transport_config,awaiting_derivation,"Has no independent measurement: it is domain extent divided by pitch, and both come from other rows."
D-SRCPOS,source_position_cm,measured,As-built source placement relative to the biological domain origin,n/a — enters the config directly,off every lattice plane and inside the biological domain (check_source_placement),emit_transport_config,awaiting_measurement,"The derived centre n*pitch/2 lands on a lattice plane for every even lattice size, and on the z axis independently of it. An explicit position is the only way through."
D-SRCSHAPE,source_spatial / source_angular,declared,Which idealization represents the real source,n/a — enters the config directly,"one of line_z_axis or point_origin, with the idealization written down",emit_transport_config,satisfied,"A REAL SEALED CAPSULE CANNOT BE REPRESENTED. Reference A1 is declared and unsupported: there is no active-core/capsule CSG, so no encapsulation and no self-attenuation. Using a point or line for a capsule is a declared modelling limitation, not a measurement, and must be recorded as one."
D-ACTIVITY,photons_per_second,measured,A source assay certificate with an activity and a reference date,data/sources.csv + data/parameter_provenance.csv,S = A(t) * sum_j Y_j with A(t) = A0 * 2^(-(t-t0)/T_half); the PMF stays separate,dosimetry stage only,awaiting_measurement,Transport needs NONE of this: heating is per source particle and transport_state_hash excludes photons_per_second. Only Gy/s needs it.
D-SPECTRUM,spectrum_energies_eV / spectrum_probabilities,evaluated_data,Evaluated decay data for the source nuclide,n/a — enters the config directly,probabilities are a normalized PMF summing to 1; the loader does not normalize,emit_transport_config,awaiting_evaluated_data,Keep S = A*sum_j Y_j separate from p_j = Y_j/sum_k Y_k. Conflating them silently mis-normalizes any nuclide emitting more than one photon per decay.
D-BOUNDS,axial_bc / radial_outer_bc / origin_cm,declared,"The boundary treatment and the lattice origin, with justification",n/a — enters the config directly,"boundaries in {vacuum, reflective}; the choice recorded",emit_transport_config,satisfied,Reflective represents infinite repetition and changes the problem. It must never be selected to improve tally statistics.
D-NUMERICS,batches / particles / seed / mesh_coarsening_factor,declared,The biofilm-specific resolution and history study — a SEPARATE threshold after the pitch exists,data/biofilm_transport_convergence.csv + docs/biofilm_transport_resolution_decision.md,"a decision document naming the selected mesh, factor and history count with its ceiling",emit_transport_config,awaiting_analysis,"A0's sweep decided the PHANTOM's numbers and its rows carry sensitivity_domain = transport_numerical, so it cannot appear to have ranked biology. The biofilm study must also report cell-, lineage- and generation-dose rank stability, which A0 has no labels to measure."
D-XRED,response.metal_reduction,measured,Metal loading with an active_fraction per row,data/calibration/materials/metal_loading.csv,no row has a null active_fraction,radiodialysis gate,unsupported_by_current_model,"BLOCKED BY A UNITS ERROR UPSTREAM, not by missing data. compute_radial_biomass returns site occupancy and its unweighted mean is assigned to X_total/X_red, which is neither a biomass fraction nor an active-reducer fraction. Taxonomic abundance is not functional activity. Measuring this does not unblock it."
D-OCCUPANCY,lattice_pitch_um,declared,"The occupancy mapping from the continuous biomass field to a binary lattice, with its parameter",config/reference_d_spatial_acceptance.toml,mapping is threshold (with threshold_tau) or mass_preserving (with a seed),spatial gate,satisfied,"THE OCCUPANCY MAP IS PART OF THE CALIBRATION, not a preprocessing detail. threshold preserves connectivity but does not conserve biovolume; mass_preserving conserves biovolume in expectation but varies by seed. Neither is correct in general, so apply_occupancy() refuses while it is unset, and an unseeded mass_preserving run cannot be reproduced."
D-DOMAIN,lattice_n,declared,What the CPM lattice is claimed to represent,config/reference_d_spatial_acceptance.toml,"domain.semantics is microvolume, representative_segment or full_apparatus — never unresolved",spatial gate,satisfied,"THE CPM FORCES L = 2R. R = N/2 is recomputed at seven sites and there is no length field, so an apparatus whose real aspect ratio is not 2 cannot be claimed as full_apparatus AT ANY PITCH. That is a topology fact, not a resolution one, and it is why Reference C can never be a full-length MABR here."
D-OBSTOL,lattice_pitch_um,declared,The six per-observable tolerances select_pitch judges a candidate pitch by,config/reference_d_spatial_acceptance.toml,"maximum error set for biovolume_fraction, porosity, interface_area, correlation_length, thickness and component_size",spatial gate,satisfied,"Distinct from the five [representation] thresholds: those decide whether a SHAPE is representable at a pitch, these decide whether a coarsened FIELD still preserves the declared observables. select_pitch() refuses if any one is unset."
D-MATACCEPT,density_g_cm3,declared,"The material acceptance thresholds, declared before the assays are read",config/reference_d_material_acceptance.toml,"maximum_density_relative_uncertainty, maximum_composition_closure_error, minimum_replicates and maximum_unaccounted_dry_mass_fraction all set",material OpenMC gate,satisfied,"allow_oxygen_by_difference is already true, but a fraction obtained that way MUST be recorded as analysis_method = by_difference in elemental_analysis.csv — otherwise a closure that was assumed reads as a closure that was measured."
D-AXIALFACE,axial_bc / radial_outer_bc / origin_cm,derived,An axial-face compatibility check on the Reference D snapshots used for transport,data/biofilm_transport_convergence.csv,biomass occupancy near z_lo and z_hi statistically compatible; no large aggregate truncated at either face; axial profiles agree within a declared tolerance,emit_transport_config,awaiting_analysis,"A REFLECTIVE AXIAL FACE IMPOSES MIRROR SYMMETRY, which is consistent with a longer uniform reactor only if the material near both faces supports that continuation. An arbitrary CPM snapshot may vary strongly along z and the serial CPM has finite axial boundaries, not periodic topology. The declaration is stamped axial_boundary_validation_required; the check needs a real snapshot, so it is recorded now and implemented when one exists. Fallback if it fails: axial vacuum scored over a central region distant from the ends."
